问题,回答,分类
"业务特别着急，但供应商资料还不完整，采购能不能先往下推？","不能直接往下推。至少要先确认主体、来源、能力和基础风险信息，缺失时先补材料。","推进边界"
"采购初筛供应商时最重要的几个判断点是什么？","重点看主体和来源是否可信、产品能力是否匹配项目、风险是否可控、材料是否达到继续推进的最低要求。","初筛标准"
"如果业务很喜欢这家供应商，采购是不是可以放宽准入要求？","不能。业务偏好不能替代基础准入、风险判断和审批要求。","推进边界"
"什么时候采购应该先补材料，而不是马上升级法务或安全？","基础主体、来源、能力说明缺失时先补材料；触发系统接入、数据处理、合同重大修改等情形时再升级。","补材规则"
"什么时候采购不能直接推进，要先升级处理？","涉及客户数据、系统接入、预算超标、合同红线改动、存储位置不清等情形时，不能按普通路径直接推进。","升级判断"
"如果供应商会处理客户数据，采购最需要追问什么？","要追问数据范围、数据流向、存储地点、部署方式、分包安排和安全事件通知机制。","风险关注"
"报价比预算高不少，但业务很想上，采购应该怎么处理？","先确认是否触发审批升级，不能因为业务想上就跳过预算和授权要求。","预算审批"
"供应商说自己有很多客户案例，但不给公开链接，能算通过吗？","不能直接算通过。没有可核验出处的案例不能替代公开来源和主体核验。","来源核验"
"一个工具金额不大，是不是就可以不做风险判断？","不是。金额小不代表风险小，系统接入、数据处理和合同例外仍可能触发升级。","风险判断"
"采购到底是不是在替业务选最优供应商？","不是。采购在这个阶段主要做的是基础准入、风险初筛和流程判断，不是替业务做最终产品选型。","角色边界"
